epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5011,2.59629,4.26086,1.66014,0.00171,0.11506,0.00523,0.0012,1.79238,4.0994,1.25229,0.0002875,0.0002875,0.0002875
2,160.559,1.9505,2.21513,1.25017,0.01268,0.7131,0.38545,0.15343,1.667,3.60581,1.12991,0.000581684,0.000581684,0.000581684
3,248.785,1.90243,1.89988,1.18525,0.75538,0.46919,0.61048,0.29474,1.60322,2.84839,1.08952,0.000869928,0.000869928,0.000869928
4,327.215,1.85996,1.75343,1.15888,0.72146,0.58111,0.66143,0.30867,1.71408,2.08892,1.07892,0.00115223,0.00115223,0.00115223
5,412.796,1.80625,1.59864,1.15823,0.65749,0.47073,0.4708,0.2288,1.68088,1.72886,1.12748,0.0012005,0.0012005,0.0012005
6,502.333,1.78561,1.53522,1.1474,0.69671,0.49033,0.47443,0.22585,1.69214,1.49636,1.17473,0.00118812,0.00118812,0.00118812
7,616.03,1.77008,1.46124,1.15999,0.76491,0.37573,0.41585,0.20218,1.62031,1.42041,1.09138,0.00117575,0.00117575,0.00117575
8,726.861,1.75536,1.39551,1.12994,0.67262,0.40076,0.42672,0.1949,1.65986,1.39039,1.16959,0.00116337,0.00116337,0.00116337
9,847.861,1.72508,1.29844,1.10876,0.77906,0.37765,0.40997,0.20745,1.54802,1.29874,1.08929,0.001151,0.001151,0.001151
10,970.221,1.71394,1.29915,1.11058,0.81645,0.43253,0.46577,0.231,1.63066,1.26196,1.07039,0.00113863,0.00113863,0.00113863
11,1087.73,1.71563,1.25199,1.09527,0.85339,0.67102,0.73721,0.34721,1.67597,1.2409,1.08485,0.00112625,0.00112625,0.00112625
12,1198.28,1.67668,1.20122,1.10262,0.79188,0.78394,0.85438,0.40992,1.6248,1.19074,1.09207,0.00111388,0.00111388,0.00111388
13,1318.11,1.68331,1.19408,1.08205,0.85957,0.78291,0.85792,0.43738,1.59252,1.13403,1.04132,0.0011015,0.0011015,0.0011015
14,1411.57,1.67333,1.17807,1.07583,0.87802,0.7988,0.85254,0.43171,1.59583,1.07493,1.06888,0.00108913,0.00108913,0.00108913
15,1506.36,1.6491,1.12831,1.07431,0.88508,0.80646,0.87923,0.44709,1.6086,1.07405,1.06457,0.00107675,0.00107675,0.00107675
16,1623.87,1.62978,1.10078,1.08032,0.88657,0.81916,0.8859,0.42437,1.64538,1.07158,1.06223,0.00106437,0.00106437,0.00106437
17,1710.33,1.64708,1.11729,1.05644,0.86602,0.84732,0.87141,0.44102,1.55617,1.0553,1.03283,0.001052,0.001052,0.001052
18,1812.12,1.62738,1.09304,1.05889,0.88773,0.80754,0.89257,0.45584,1.56463,1.01965,1.02911,0.00103962,0.00103962,0.00103962
19,1919.86,1.62856,1.08354,1.06361,0.87576,0.82697,0.87651,0.43449,1.58356,1.07459,1.05669,0.00102725,0.00102725,0.00102725
20,2009.02,1.6151,1.05321,1.04978,0.86854,0.82376,0.8813,0.43994,1.60732,1.02586,1.06148,0.00101488,0.00101488,0.00101488
21,2095.46,1.61036,1.07148,1.05668,0.89486,0.82164,0.88592,0.43582,1.64498,1.0263,1.04674,0.0010025,0.0010025,0.0010025
22,2194.07,1.61087,1.02483,1.04574,0.91053,0.82518,0.88591,0.45326,1.54386,1.00116,1.01769,0.000990125,0.000990125,0.000990125
23,2282,1.62983,1.0313,1.0527,0.87511,0.83254,0.88184,0.44867,1.5812,0.97636,1.04493,0.00097775,0.00097775,0.00097775
24,2378.05,1.58562,1.01289,1.04397,0.89044,0.83429,0.89259,0.44338,1.62862,1.01748,1.03195,0.000965375,0.000965375,0.000965375
25,2477.98,1.58677,1.01177,1.05165,0.87566,0.83575,0.88244,0.45719,1.55224,0.96962,1.03595,0.000953,0.000953,0.000953
26,2576.93,1.59008,1.00598,1.04998,0.89021,0.8344,0.89356,0.45996,1.5869,0.95868,1.03624,0.000940625,0.000940625,0.000940625
27,2665.83,1.60098,1.01913,1.04808,0.89294,0.84165,0.89545,0.45537,1.54015,0.97662,1.02391,0.00092825,0.00092825,0.00092825
28,2761.63,1.56848,0.97361,1.03325,0.89801,0.82872,0.89356,0.46323,1.54084,0.95155,1.02276,0.000915875,0.000915875,0.000915875
