epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2847.06,1.58616,0.97117,1.03787,0.86791,0.88241,0.89772,0.46942,1.52987,0.97074,1.0133,0.0009035,0.0009035,0.0009035
30,2938.49,1.54744,0.9585,1.0237,0.82586,0.85815,0.87856,0.44757,1.57769,0.94826,1.02685,0.000891125,0.000891125,0.000891125
31,3034.66,1.59704,0.97887,1.03153,0.86919,0.85252,0.8854,0.46165,1.54045,0.97064,1.03444,0.00087875,0.00087875,0.00087875
32,3124.42,1.55502,0.96533,1.03464,0.89974,0.85096,0.90572,0.47339,1.53006,0.94471,1.03131,0.000866375,0.000866375,0.000866375
33,3228.11,1.53039,0.9562,1.01465,0.90178,0.85389,0.90815,0.48314,1.53741,0.9182,1.02018,0.000854,0.000854,0.000854
34,3324.55,1.56716,0.96188,1.03338,0.85401,0.84913,0.89917,0.46895,1.52212,0.96733,1.02546,0.000841625,0.000841625,0.000841625
35,3425.45,1.55617,0.96811,1.03771,0.91282,0.83932,0.89532,0.47051,1.57013,0.93676,1.02511,0.00082925,0.00082925,0.00082925
36,3540.7,1.55793,0.94627,1.02482,0.91503,0.81814,0.88511,0.46458,1.52215,0.95206,1.01573,0.000816875,0.000816875,0.000816875
37,3662.55,1.51233,0.94298,1.02282,0.93285,0.82934,0.89776,0.48321,1.49396,0.90832,1.00444,0.0008045,0.0008045,0.0008045
38,3811.3,1.54633,0.93235,1.02399,0.91031,0.84561,0.90019,0.47893,1.5212,0.92352,1.02311,0.000792125,0.000792125,0.000792125
39,4047.6,1.55005,0.94521,1.0201,0.90067,0.85024,0.90402,0.47865,1.52059,0.92098,1.0093,0.00077975,0.00077975,0.00077975
40,4220.29,1.54173,0.91821,1.02116,0.92294,0.84277,0.90226,0.45295,1.57939,0.92021,1.0247,0.000767375,0.000767375,0.000767375
41,4431.51,1.53502,0.93722,1.01691,0.89658,0.86297,0.90777,0.47862,1.51896,0.90225,1.00677,0.000755,0.000755,0.000755
42,4540.26,1.51336,0.91247,1.01502,0.88659,0.87084,0.90686,0.47612,1.52256,0.89104,1.00575,0.000742625,0.000742625,0.000742625
43,4655.21,1.50027,0.90059,1.01413,0.88703,0.87691,0.9013,0.4587,1.56435,0.89373,1.03731,0.00073025,0.00073025,0.00073025
44,4771,1.51828,0.91179,1.02507,0.8885,0.85565,0.8979,0.46619,1.56984,0.88481,1.01993,0.000717875,0.000717875,0.000717875
45,4934.1,1.51617,0.91345,1.01638,0.89238,0.85688,0.8925,0.4786,1.53271,0.90169,1.01354,0.0007055,0.0007055,0.0007055
46,5036.62,1.50461,0.8955,1.00047,0.90855,0.85299,0.9121,0.48565,1.49779,0.87679,1.0064,0.000693125,0.000693125,0.000693125
47,5129.25,1.49812,0.89092,1.00721,0.89041,0.85188,0.905,0.46942,1.52046,0.90664,1.00654,0.00068075,0.00068075,0.00068075
48,5254.81,1.5236,0.90955,1.01048,0.89066,0.87627,0.9092,0.49243,1.49413,0.90395,1.00524,0.000668375,0.000668375,0.000668375
49,5390.54,1.48821,0.87234,0.99726,0.90808,0.86263,0.90526,0.48099,1.53573,0.88008,1.01,0.000656,0.000656,0.000656
50,5493.86,1.47797,0.87518,0.99766,0.90537,0.85964,0.90999,0.49496,1.50355,0.84644,1.0053,0.000643625,0.000643625,0.000643625
51,5604.43,1.46916,0.8698,1.01508,0.89212,0.86859,0.91294,0.4972,1.45715,0.86773,1.00269,0.00063125,0.00063125,0.00063125
52,5704.73,1.4769,0.87164,1.01158,0.92658,0.83766,0.91399,0.49786,1.49657,0.87236,0.99772,0.000618875,0.000618875,0.000618875
53,5815.74,1.46908,0.85681,0.9986,0.92029,0.85286,0.91784,0.49308,1.51311,0.85511,0.999,0.0006065,0.0006065,0.0006065
54,5925.98,1.46563,0.85173,1.00173,0.90474,0.8509,0.91007,0.48107,1.55037,0.85493,1.01191,0.000594125,0.000594125,0.000594125
55,6027.94,1.48688,0.85018,0.99936,0.92652,0.85237,0.92357,0.48939,1.52111,0.85518,1.00112,0.00058175,0.00058175,0.00058175
56,6151.4,1.46444,0.85319,0.99504,0.92012,0.86497,0.92171,0.48886,1.54091,0.84344,1.00294,0.000569375,0.000569375,0.000569375
57,6244.12,1.47895,0.85801,0.98873,0.89977,0.88351,0.93238,0.49969,1.49627,0.8419,0.99756,0.000557,0.000557,0.000557
58,6354.52,1.50492,0.86586,0.99971,0.89548,0.88093,0.92307,0.50564,1.48599,0.82029,0.99701,0.000544625,0.000544625,0.000544625
59,6467.09,1.43919,0.83239,0.99421,0.89564,0.89349,0.92409,0.49419,1.52928,0.83219,0.99591,0.00053225,0.00053225,0.00053225
60,6556,1.45719,0.85515,0.99113,0.88635,0.8983,0.92105,0.49709,1.51891,0.84705,0.99708,0.000519875,0.000519875,0.000519875
61,6707.14,1.47533,0.8443,0.99972,0.90361,0.87391,0.91677,0.48532,1.5065,0.85491,1.0089,0.0005075,0.0005075,0.0005075
62,6817.51,1.45205,0.83809,0.99,0.90028,0.89226,0.92903,0.50194,1.52054,0.83557,0.99369,0.000495125,0.000495125,0.000495125
63,6908.79,1.45915,0.84365,0.9894,0.92006,0.8754,0.92075,0.50833,1.49999,0.82522,0.99537,0.00048275,0.00048275,0.00048275
64,7011.24,1.45536,0.85655,0.99145,0.9218,0.86571,0.92642,0.49458,1.50532,0.83388,1.00463,0.000470375,0.000470375,0.000470375
65,7093.6,1.45643,0.83344,0.99235,0.92116,0.86515,0.91588,0.4881,1.50608,0.84164,1.00014,0.000458,0.000458,0.000458
66,7177.27,1.41865,0.8042,0.98306,0.93458,0.87446,0.92491,0.50044,1.47807,0.80012,0.98915,0.000445625,0.000445625,0.000445625
67,7304.94,1.44405,0.82746,0.98356,0.90747,0.86662,0.92101,0.50554,1.49826,0.84567,0.98868,0.00043325,0.00043325,0.00043325
68,7402.36,1.41314,0.8153,0.9701,0.90921,0.87543,0.92601,0.49963,1.49474,0.82533,0.98724,0.000420875,0.000420875,0.000420875
69,7498.19,1.41468,0.80201,0.98024,0.90122,0.86987,0.9105,0.49709,1.49237,0.81554,0.99768,0.0004085,0.0004085,0.0004085
70,7619.74,1.4295,0.80702,1.00158,0.90401,0.88247,0.92192,0.49533,1.49929,0.82056,1.00424,0.000396125,0.000396125,0.000396125
71,7735.32,1.4224,0.82052,0.99189,0.89677,0.89719,0.92609,0.48798,1.54692,0.81798,1.00837,0.00038375,0.00038375,0.00038375
72,7898.03,1.40632,0.80368,0.97976,0.92391,0.87991,0.92539,0.50326,1.49398,0.79601,0.99465,0.000371375,0.000371375,0.000371375
73,8030.18,1.42884,0.82224,0.98475,0.91131,0.8898,0.92429,0.50898,1.48019,0.80133,0.99341,0.000359,0.000359,0.000359
74,8155.06,1.42082,0.81186,0.98265,0.92135,0.88245,0.92641,0.50014,1.4933,0.81103,0.98911,0.000346625,0.000346625,0.000346625
75,8420.01,1.39114,0.79723,0.97648,0.90867,0.88522,0.92332,0.50387,1.50158,0.80802,0.99266,0.00033425,0.00033425,0.00033425
